script_name,f1_full,f1_per,miou_full,miou_per,mof_full,mof_per
mixed_static_pixels_actions.sh,0.3170548975467682,0.759368360042572,0.23599626123905182,0.614585816860199,0.6661764979362488,0.8150656819343567
mixed_static_pixels_big.sh,0.3029765188694,0.7196711301803589,0.2747303247451782,0.6054752469062805,0.5004312992095947,0.6584901809692383
mixed_static_symbolic_actions.sh,0.3506612479686737,0.8055904507637024,0.37036973237991333,0.6825054883956909,0.6104783415794373,0.8017966747283936
mixed_static_symbolic_big_actions.sh,0.40440064668655396,0.7697486281394958,0.3936356008052826,0.6177186965942383,0.6319325566291809,0.7760958075523376
mixed_static_symbolic_big.sh,0.4180176258087158,0.7845410704612732,0.4075383245944977,0.6443576216697693,0.6153516173362732,0.7644079923629761
mixed_static_pixels_big_actions.sh,0.4801754057407379,0.6576173305511475,0.5228820443153381,0.6384036540985107,0.6454859375953674,0.6214141845703125
mixed_static_symbolic.sh,0.3514709770679474,0.641233503818512,0.35827159881591797,0.546838104724884,0.5709946751594543,0.6674872636795044
mixed_static_pixels.sh,0.38522085547447205,0.7961840033531189,0.37745171785354614,0.6619685292243958,0.5779411792755127,0.7395400404930115
stone_pick_static_pixels_big.sh,0.8751333355903625,0.8761335611343384,0.7170772552490234,0.7203990817070007,0.7664904594421387,0.7669828534126282
stone_pick_static_pixels_big_actions.sh,0.6505066752433777,0.6391462683677673,0.45511308312416077,0.45195692777633667,0.6308534741401672,0.631528913974762
stone_pick_static_symbolic_big_actions.sh,0.7907800674438477,0.7789468169212341,0.5255656242370605,0.5321107506752014,0.6632353663444519,0.6705663204193115
stone_pick_static_symbolic.sh,0.6953999400138855,0.7237663865089417,0.44706839323043823,0.47475898265838623,0.6040717363357544,0.6229226589202881
stone_pick_static_pixels.sh,0.8008333444595337,0.7558333873748779,0.6045708060264587,0.5975865721702576,0.6950444579124451,0.6996297240257263
stone_pick_static_symbolic_actions.sh,0.7230333089828491,0.7350665926933289,0.461769163608551,0.4828777015209198,0.6219993829727173,0.6354783773422241
stone_pick_static_symbolic_big.sh,0.7532599568367004,0.753787100315094,0.49121659994125366,0.5048623085021973,0.6486368179321289,0.6540015935897827
stone_pick_static_pixels_actions.sh,0.7066666483879089,0.7387668490409851,0.5568154454231262,0.5878463983535767,0.683290958404541,0.7192258238792419
wsws_random_pixels_actions.sh,0.8038913607597351,0.8882596492767334,0.5717278122901917,0.5889135599136353,0.7279742956161499,0.7285812497138977
wsws_random_symbolic_actions.sh,0.6141176223754883,0.8194200396537781,0.3561919629573822,0.5400174856185913,0.5267914533615112,0.6879010796546936
wsws_random_symbolic.sh,0.5661538243293762,0.8197266459465027,0.33890819549560547,0.5179368257522583,0.5080696940422058,0.671481192111969
wsws_random_pixels_big_actions.sh,0.609258234500885,0.8096967935562134,0.389806866645813,0.5802156925201416,0.5637686848640442,0.7315492630004883
wsws_random_symbolic_big_actions.sh,0.7047721147537231,0.8320974707603455,0.44681569933891296,0.5359538197517395,0.6190414428710938,0.6857547760009766
wsws_random_pixels.sh,0.7957466244697571,0.8884866833686829,0.5646157264709473,0.5898938179016113,0.7234726548194885,0.732353925704956
wsws_random_pixels_big.sh,0.7757282853126526,0.8663055300712585,0.6514337658882141,0.6861043572425842,0.7917783856391907,0.7941379547119141
wsws_random_symbolic_big.sh,0.6369794607162476,0.8274564146995544,0.4121938943862915,0.5959581732749939,0.5837746858596802,0.7316005229949951
stone_pick_random_symbolic_big.sh,0.7540422677993774,0.7536711692810059,0.492632657289505,0.5245459675788879,0.6446494460105896,0.6604660153388977
stone_pick_random_pixels_big_actions.sh,0.6967123746871948,0.7477782964706421,0.5043606758117676,0.5678658485412598,0.6559569835662842,0.7045390009880066
stone_pick_random_pixels_actions.sh,0.7890334129333496,0.7924532890319824,0.605925977230072,0.6506307721138,0.7749683856964111,0.774971067905426
stone_pick_random_symbolic_big_actions.sh,0.7938873767852783,0.7923689484596252,0.5055716037750244,0.5344367027282715,0.6554120779037476,0.666199803352356
stone_pick_random_symbolic_actions.sh,0.7316593527793884,0.7056301832199097,0.4546259343624115,0.4854809045791626,0.6116970181465149,0.6320067048072815
stone_pick_random_pixels_big.sh,0.6636669635772705,0.7250001430511475,0.43424710631370544,0.5256755352020264,0.6262032985687256,0.686978816986084
stone_pick_random_pixels.sh,0.6047452092170715,0.731890857219696,0.48225006461143494,0.5992793440818787,0.6302149295806885,0.7048282623291016
stone_pick_random_symbolic.sh,0.6211413145065308,0.6854327321052551,0.33739203214645386,0.4275459945201874,0.5078299641609192,0.5839210152626038
wsws_static_pixels.sh,0.9717999696731567,0.9805998802185059,0.5577495694160461,0.5679360628128052,0.7562220692634583,0.7608985304832458
wsws_static_symbolic.sh,0.9612000584602356,0.9501999616622925,0.4963339567184448,0.5224606990814209,0.7025112509727478,0.7217261791229248
wsws_static_pixels_big_actions.sh,0.6564800143241882,0.6703068017959595,0.32776251435279846,0.4084824323654175,0.502167284488678,0.5900577902793884
wsws_static_pixels_actions.sh,0.9804666638374329,0.9755998849868774,0.577322244644165,0.5897951722145081,0.733248233795166,0.7428022027015686
wsws_static_symbolic_big.sh,0.6085599660873413,0.7204801440238953,0.33329978585243225,0.4102739691734314,0.5027244687080383,0.5860775709152222
wsws_static_symbolic_big_actions.sh,0.9048932790756226,0.9009863138198853,0.4594461917877197,0.4904533922672272,0.660352885723114,0.6855871081352234
wsws_static_pixels_big.sh,0.6667466163635254,0.6667458415031433,0.2893146872520447,0.298822820186615,0.5776389837265015,0.5968459248542786
wsws_static_symbolic_actions.sh,0.9410666823387146,0.9395332932472229,0.47844937443733215,0.5029726028442383,0.6831938028335571,0.702400803565979
